id,brand,name,year,price,Город,"Объем двигателя, л",Кузов,Пробег,Коробка передач,Цвет,Привод,Есть доставка
1183240,Chevrolet,"Epica,",2010,9500,Ташкент,2.4 (бензин),седан,154000.0,автомат,,передний привод,
1183203,Chevrolet,"Cobalt,",2013,6753,Ходжейлийский район,1.5 (газ-бензин),седан,120100.0,механика,белый,передний привод,
1166367,Chevrolet,Nexia 2,2008,4341,Карши,,седан,400000.0,механика,черный,передний привод,
1196002,Chevrolet,"Captiva,",2012,16500,Ташкент,3 (бензин),кроссовер,150000.0,автомат,серебристый,полный привод,
1183030,Chevrolet,"Nexia 2,",2015,6500,Зарафшан,1.5 (бензин),седан,36000.0,механика,белый,передний привод,
1198772,Daewoo,Nexia,2004,4500,Ташкент,1.5 (газ-бензин),седан,1.0,механика,белый,передний привод,
1070857,Chevrolet,"Cobalt,",2020,10000,Джизак,1.5 (бензин),седан,95.0,механика,белый,передний привод,Да
1150578,ВАЗ (Lada),2105,1990,2412,Фергана,,седан,,механика,красный,задний привод,Да
1150584,ВАЗ (Lada),2106,1986,965,Нукус,,седан,27334.0,механика,жёлтый,,
1195967,Chevrolet,"Lacetti,",2009,6800,Джизак,1.8 (газ-бензин),седан,,механика,белый,передний привод,
1123855,Chevrolet,"Lacetti,",2019,10500,Ташкент,1.5 (бензин),седан,21500.0,механика,коричневый,передний привод,
1195989,Chevrolet,"Matiz,",2009,2894,Ургенч,0.8 (бензин),хэтчбек,,механика,,передний привод,
1195986,ВАЗ (Lada),2101,1982,1351,Байсунский район,1.2 (газ-бензин),седан,222222.0,механика,бордовый,задний привод,Да
1195972,Chevrolet,"Cobalt,",2020,9828,Термез,1.5 (бензин),седан,280.0,механика,белый,передний привод,Да
987535,ВАЗ (Lada),2103,1976,1206,Шаватский район,,седан,,механика,синий,,
1195977,Chevrolet,Damas,2008,4438,Навои,,,414300.0,механика,молочный цвет,задний привод,
1189663,Chevrolet,"Nexia 3,",2016,7901,Навои,1.5 (газ-бензин),седан,48000.0,механика,серый,передний привод,Да
1195966,Daewoo,Damas,2006,5000,Самарканд,,,,механика,белый,,
1195971,Kia,Sportage,1997,6000,Бухарский район,1 (дизель),лимузин,21.0,механика,белый,полный привод,Да
1195959,Mercedes-Benz,E 230,1989,4300,Ташкент,2.3 (бензин),хэтчбек,,механика,,,
1195956,Chevrolet,"Nexia 2,",2015,6300,Асакинский район,1.5 (газ-бензин),седан,,механика,,передний привод,
1174471,УАЗ,469,1996,2000,Музрабадский район,1.8 (дизель),седан,,механика,зеленый,полный привод,
1210919,Chevrolet,"Nexia 2,",2009,5200,Самарканд,1.6 (газ-бензин),седан,,механика,черный,передний привод,
1194017,Chevrolet,"Lacetti,",2013,8500,Коканд,1.8 (газ-бензин),седан,143000.0,механика,черный,передний привод,
1210928,ГАЗ,21 (Волга),1969,5000,Ташкент,1.2 (бензин),седан,100000.0,механика,черный,задний привод,
1195948,Chevrolet,"Nexia 3,",2019,7800,Навои,1.5 (бензин),седан,,механика,белый,передний привод,
1195919,Chevrolet,"Lacetti,",2015,8800,Ташкент,1.5 (бензин),седан,62000.0,механика,дельфин,передний привод,
1195935,Daewoo,Labo,2011,7000,Асакинский район,,,243000.0,механика,,,
1059402,ВАЗ (Lada),Самара (хэтчбек 2109),1989,2900,Каттакурганский район,1.5 (газ-бензин),хэтчбек,8200.0,механика,бордовый,передний привод,Да
1195918,Daewoo,Nexia,2008,5100,Ташкент,1.5 (газ),седан,140000.0,механика,белый,передний привод,
1195920,ВАЗ (Lada),2106,1985,2500,Самарканд,,,,механика,,,
1195911,Kia,Sportage Grand,1997,8682,Бухарский район,1 (дизель),седан,1.0,механика,белый,полный привод,
1195914,Chevrolet,"Nexia 3,",2019,10000,Самарканд,1.5 (бензин),седан,11000.0,автомат,белый,передний привод,
1195913,Москвич,401,1994,2315,Фергана,,,,механика,молочный цвет,задний привод,
1195904,Chevrolet,"Cobalt,",2015,7600,Ташкент,1.5 (газ-бензин),седан,173.0,механика,мокрый асфальт,передний привод,
1210925,Ravon,Nexia R3,2020,10200,Ташкент,,седан,8000.0,автомат,белый,,
1210913,Ravon,Nexia R3,2020,10200,Ташкент,,седан,8000.0,автомат,белый,,
1210911,Chevrolet,"Lacetti,",2019,10612,Джизак,1.5 (бензин),седан,3600.0,механика,белый,передний привод,
1210907,Chevrolet,"Matiz Best,",2009,3600,Янгиюль,1 (газ-бензин),хэтчбек,407.0,механика,серебристый,передний привод,
